Check_in,Blue Heaven,Cozy Cabin,I-ONES,Ivy Cottage,Rent
2020-01,18300,51900,28200,13500,111900
2020-02,15200,16000,4400,1800,37400
2020-03,1800,8100,5200,1800,13300
2020-04,1300,6300,4500,6300,18400
2020-05,2800,900,6600,1300,11600
2020-06,6200,16900,5400,1800,30300
2020-07,6700,16000,22900,900,46500
2020-08,45800,45800,23700,13900,129200
2020-09,15900,59500,30200,27400,133000
2020-10,900,20900,8000,1800,29800
2020-11,1800,15900,21100,2700,41500
2020-12,23800,53200,31800,17900,126700
2021-01,16900,46900,29500,3600,96900
2021-02,6500,10800,9100,4500,30900
2021-03,10600,17600,18600,2700,49500
2021-04,11400,15100,36100,5400,68000
2021-05,3900,8100,13500,1800,25500
2021-06,2700,27200,900,4500,35300
2021-07,2600,28000,29200,1800,59800
2021-08,21900,25200,40900,11900,99900
2021-09,20100,39000,20900,6500,86500
2021-10,10100,18600,5400,900,35000
2021-11,14200,6200,10200,1800,30600
2021-12,22100,42700,27100,18200,110100
2022-01,25300,39100,26300,10800,101500
2022-02,9000,3600,17800,1800,32200
2022-03,18800,16800,14200,4500,54300
2022-04,900,3600,12000,3500,20000
2022-05,7900,17400,11100,4400,40800
2022-06,8200,17100,18200,5100,48600
2022-07,5200,22000,18600,11700,57500
2022-08,19800,35400,66800,15300,137300
2022-09,14200,47600,62000,15000,138800
2022-10,1800,17500,5400,1800,22900
2022-11,3600,9000,8800,9100,30500
2022-12,23800,69900,20600,27700,142000
2023-01,19900,40100,58400,5400,123800
2023-02,2200,10900,900,1800,14000
2023-03,4900,19900,12900,2600,40300
2023-04,3600,19200,17400,11700,51900
2023-05,13900,9300,7500,1800,30700
2023-06,9700,5700,4800,3600,23800
2023-07,2700,19600,10200,1800,32500
2023-08,17800,95800,13300,14400,141300
2023-09,27300,67600,22900,4500,122300
2023-10,1800,12400,20000,17700,50100
2023-11,900,27800,1800,3900,34400
2023-12,14400,52200,21500,6300,94400
